appid,name,banner,woke,description
2767030,"Marvel Rivals","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2767030/header_292x136.jpg?t=1736492430",-1,"Contains overtly anti-free speech and subtly pro-Communism messaging. Terms and phrases deemed 'politically incorrect' by the CCP are censored in-game."
1594060,"Victory Heat Rally","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1594060/header_292x136.jpg?t=1737127751",-1,"Contains overtly pro-DEI messaging. Features an improbably diverse cast of characters. Of the 12 drivers, 6 are male and 6 are female. 1 is Latino and 1 is Black."
1190970,"House Flipper 2","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1190970/header_292x136.jpg?t=1738605324",-1,"Contains overtly pro-LGBTQ+ messaging. Pronoun selection including an option for they/them. Uses unlabeled presets instead of a clear male/female distinction."
1368130,"Park Beyond","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1368130/header_292x136.jpg?t=1727343145",-1,"Contains overtly pro-DEI, overtly pro-LGBTQ+, and overtly anti-white messaging. Features an improbably diverse cast of characters. The player character is referred to using they/them pronouns."
534380,"Dying Light 2 Stay Human: Reloaded Edition","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/534380/header_292x136.jpg?t=1738940506",-1,"Contains overtly pro-LGBTQ+ messaging. Multiple rainbow flags can be seen throughout the game. Features multiple minor LGBTQ+ npcs."
1240440,"Halo Infinite","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1240440/header_292x136.jpg?t=1738694980",-1,"Contains overtly pro-DEI and overtly pro-LGBTQ+ messaging. Features female front-line combatants. No distinction between male and female player characters. Multiple DEI themed multiplayer emblems."
3035570,"Assassin's Creed Mirage","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3035570/header_292x136.jpg?t=1737593508",-1,"Contains overtly pro-DEI and overtly pro-LGBTQ+ messaging. One of the opening screens is a diversity disclaimer."
582160,"Assassin's Creed® Origins","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/582160/header_292x136.jpg?t=1736247595",-1,"Contains overtly pro-DEI and overtly pro-LGBTQ+ messaging. One of the opening screens is a diversity disclaimer."
359600,"Assassin’s Creed® Chronicles: Russia","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/359600/header_292x136.jpg?t=1692034902",-1,"Contains overtly pro-DEI messaging. One of the opening screens is a diversity disclaimer that says this game was made by 'a multicultural team of various religious faiths and beliefs'."
359610,"Assassin’s Creed® Chronicles: India","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/359610/header_292x136.jpg?t=1692034847",-1,"Contains overtly pro-DEI messaging. One of the opening screens is a diversity disclaimer that says this game was made by 'a multicultural team of various religious faiths and beliefs'."
354380,"Assassin’s Creed® Chronicles: China","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/354380/header_292x136.jpg?t=1692034852",-1,"Contains overtly pro-DEI messaging. The player character is an improbable female assassin in 16th century China. One of the opening screens is a diversity disclaimer."
289650,"Assassin's Creed® Unity","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/289650/header_292x136.jpg?t=1734511984",-1,"Contains overtly pro-DEI messaging. One of the opening screens is a diversity disclaimer that says this game was made by 'a multicultural team of various religious faiths and beliefs'."
311560,"Assassin’s Creed® Rogue","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/311560/header_292x136.jpg?t=1738230827",-1,"Contains overtly pro-DEI messaging. Out of place diversity for an 18th century setting. One of the opening screens is a diversity disclaimer."
277590,"Assassin's Creed Freedom Cry","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/277590/header_292x136.jpg?t=1692034508",-1,"Contains overtly pro-DEI and overtly anti-colonialism messaging. The player character is a former slave who fights against slavery. One of the opening screens is a diversity disclaimer."
242050,"Assassin’s Creed® IV Black Flag™","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/242050/header_292x136.jpg?t=1738250868",-1,"Contains overtly pro-DEI messaging and subtly pro-LGBTQ+ messaging. Out of place diversity for the Golden Age of Piracy.  The npc Mary Reed engages in cross-dressing. Diversity disclaimer on startup."
260210,"Assassin’s Creed® Liberation HD","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/260210/header_292x136.jpg?t=1692034621",-1,"Contains overtly pro-DEI and overtly anti-colonialism messaging. The player character is an improbable WOC assassin who fights to free slaves in French Louisiana. Diversity disclaimer during startup."
201870,"Assassin's Creed® Revelations","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/201870/header_292x136.jpg?t=1698435866",-1,"Contains overtly pro-DEI messaging. One of the opening screens is a diversity disclaimer that says this game was made by 'a multicultural team of various religious faiths and beliefs'."
48190,"Assassin’s Creed® Brotherhood","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/48190/header_292x136.jpg?t=1681861086",-1,"Contains overtly pro-DEI messaging. Out of place diversity in a 15th century Italy setting. There are female assassins. One of the opening screens is a diversity disclaimer."
33230,"Assassin's Creed 2","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/33230/header_292x136.jpg?t=1682004272",-1,"Contains overtly pro-DEI messaging. One of the opening screens is a diversity disclaimer that says this game was made by a 'multicultural team of various religious faiths and beliefs'."
